Speaker,Prompt Name,Language,Gender,Tags,Prompt Audio Link,Continuation Audio Link
Speaker 0 (DE),v2/de_speaker_0,German,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/de_speaker_0.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/de_speaker_0.mp3
Speaker 1 (DE),v2/de_speaker_1,German,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/de_speaker_1.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/de_speaker_1.mp3
Speaker 2 (DE),v2/de_speaker_2,German,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/de_speaker_2.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/de_speaker_2.mp3
Speaker 3 (DE),v2/de_speaker_3,German,Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/de_speaker_3.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/de_speaker_3.mp3
Speaker 4 (DE),v2/de_speaker_4,German,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/de_speaker_4.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/de_speaker_4.mp3
Speaker 5 (DE),v2/de_speaker_5,German,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/de_speaker_5.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/de_speaker_5.mp3
Speaker 6 (DE),v2/de_speaker_6,German,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/de_speaker_6.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/de_speaker_6.mp3
Speaker 7 (DE),v2/de_speaker_7,German,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/de_speaker_7.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/de_speaker_7.mp3
Speaker 8 (DE),v2/de_speaker_8,German,Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/de_speaker_8.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/de_speaker_8.mp3
Speaker 9 (DE),v2/de_speaker_9,German,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/de_speaker_9.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/de_speaker_9.mp3
Speaker 0 (HI),v2/hi_speaker_0,Hindi,Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/hi_speaker_0.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/hi_speaker_0.mp3
Speaker 1 (HI),v2/hi_speaker_1,Hindi,Female,Background Noise,https://dl.suno-models.io/bark/prompts/prompt_audio/hi_speaker_1.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/hi_speaker_1.mp3
Speaker 2 (HI),v2/hi_speaker_2,Hindi,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/hi_speaker_2.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/hi_speaker_2.mp3
Speaker 3 (HI),v2/hi_speaker_3,Hindi,Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/hi_speaker_3.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/hi_speaker_3.mp3
Speaker 4 (HI),v2/hi_speaker_4,Hindi,Female,Background Noise,https://dl.suno-models.io/bark/prompts/prompt_audio/hi_speaker_4.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/hi_speaker_4.mp3
Speaker 5 (HI),v2/hi_speaker_5,Hindi,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/hi_speaker_5.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/hi_speaker_5.mp3
Speaker 6 (HI),v2/hi_speaker_6,Hindi,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/hi_speaker_6.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/hi_speaker_6.mp3
